,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
687,Bowrider,6.2,2.34,48,38161.424999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
688,Cabin Boat,5.94,2.4,40,38108.75,Germany , Niedersachsen ,new,4
689,Center console boat,5.56,2.26,27,38075.424999999996,France ," PLUNERET, France",new,4
690,Sport Boat,6.9,1.78,106,38055.0,Switzerland , Lake Constance ,new,4
691,Bowrider,5.7,2.26,131,37893.75,Germany , Kiel,new,4
702,Sport Boat,6.58,2.38,283,41707.049999999996,Switzerland , Vierwaldst¤ttersee ,new,5
704,Center console boat,7.74,2.52,65,39145.049999999996,Germany , Bnningstedt,new,4
707,Pilothouse,6.8,2.35,103,39022.5,Germany , Bitte Anfragen,new,4
708,Deck Boat,6.0,2.0,32,38610.0,Denmark , Svendborg,new,5
709,Bowrider,5.73,2.29,131,43102.78,Switzerland , Neuenburgersee ,new,4
712,Cabin Boat,6.02,2.34,269,43047.83,Switzerland , Neuenburgersee ,new,4
714,Bowrider,5.0,2.0,90,38467.0,Denmark , Svendborg,new,4
715,Trawler,7.5,2.5,166,42861.0,Switzerland , Lake of Zurich ,new,6
719,Bowrider,6.06,2.2,172,44464.441,Switzerland , Vierwaldst¤ttersee ,new,5
721,Motor Yacht,6.74,2.55,194,44278.71,Switzerland , Neuenburgersee ,new,4
723,Sport Boat,5.94,2.4,144,44003.96,Switzerland , Lake Constance ,new,5
725,Pilothouse,6.4,2.4,109,39775.0,Germany , auf Anfrage,new,4
737,Sport Boat,6.0,2.34,91,40850.0,Germany , Gummersbach,new,4
754,Bowrider,5.94,2.29,113,41817.5,Germany , Boote Pfister GmbH Schwebheim/Schweinfurt,new,4
759,Bowrider,6.0,2.0,153,41327.0,Denmark , Svendborg,new,5
761,Pilothouse,7.43,2.81,60,41703.549999999996,Germany , Bnningstedt,new,4
762,Pilothouse,6.0,2.0,73,41654.1,Spain ," Huelva, Espagne",new,6
763,Center console boat,5.56,2.23,85,41602.5,France ," LA GRANDE MOTTE, France",new,4
766,Bowrider,5.49,2.2,300,46454.729999999996,Switzerland , Lake Geneva ,new,4
767,Pilothouse,6.05,2.32,164,41925.0,Germany , Nordrhein-Westfalen ,new,4
777,Pilothouse,8.5,2.8,65,41925.0,France ," Lorient, France",new,6
780,Pilothouse,6.6,2.5,50,42879.6,Germany , Nordrhein-Westfalen ,new,5
782,Center console boat,6.04,2.26,70,42785.0,France ," ARZON, France",new,4
785,Sport Boat,6.4,2.25,52,42615.15,Germany , Neustadt in Holstein,new,6
789,Deck Boat,7.8,2.45,118,42559.25,Italy , Venezia,new,5
790,Sport Boat,6.8,2.49,66,42462.5,Germany , Hock Boote,new,14
794,Cabin Boat,5.75,2.54,84,42998.924999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
797,Bowrider,5.94,2.54,43,42989.25,Germany , Bayern ,new,5
798,Pilothouse,6.2,2.44,41,42989.25,France ," Chalon-sur-Sa´ne, France",new,4
802,Sport Boat,8.4,2.8,155,42946.25,Germany , DE,new,4
804,Pilothouse,5.52,2.4,38,42916.15,Portugal ," Parchal, Portugal",new,5
809,Pilothouse,7.76,2.85,208,44073.924999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
810,Center console boat,5.56,2.23,28,43967.5,France ," PORNICHET, France",new,4
812,Pilothouse,6.5,2.4,90,43860.0,France ," AQUITAINE, AQUITAINE",new,5
815,Sport Boat,5.5,2.29,83,43698.75,Germany , Lake Constance ,new,4
816,Sport Boat,5.1,2.3,93,47806.5,Switzerland , Spiez,new,16
818,Pilothouse,5.77,2.44,39,46160.0,United Kingdom ," Lincoln, Lincoln",new,4
821,Bowrider,5.7,2.15,114,43440.75,Germany , Lake Constance ,new,4
823,Sport Boat,6.0,2.0,105,42757.0,Denmark , Svendborg,new,4
827,Sport Boat,5.99,2.21,82,45042.5,Germany , Bayern ,new,5
829,Sport Boat,5.7,2.38,64,45042.5,Germany , Bayern ,new,4
830,Center console boat,5.56,2.23,29,45042.5,France ," PORNICHET, France",new,4
832,Center console boat,6.7,2.45,104,45031.75,Germany , Herford,new,4
833,Passenger boat,8.0,3.0,144,45025.299999999996,Portugal ," Portim£o, Portugal",new,4
834,Sport Boat,6.15,2.27,168,49345.1,Switzerland , Lake of Zurich ,new,11
835,Deck Boat,6.0,2.0,54,44898.45,Spain ," Palma, Espagne",new,6
836,Cabin Boat,7.23,2.55,55,44790.95,Germany , Niedersachsen ,new,4
840,Pilothouse,5.52,2.4,52,45687.5,Spain ," Hospitalet del Infante, Espagne",new,6
